site_location,latitude,longitude
GOVERNORS ISLAND,40.688654,-74.018276
4 SOUTH STREET - WHITEHALL FERRY TERMINAL,40.702335,-74.014384
COURTYARD WEST,40.732377,-74.010735
PIER 40 DOG RUN,40.730380,-74.011005
PIER 40 COURTYARD AND TUNNEL,40.729170,-74.011317
PIER 45,40.732971,-74.010875
PIER 51,40.738145,-74.010417
PIER 57,40.743410,-74.009000
PIER 40,40.729170,-74.011317
CHELSEA WATERSIDE PARK FIELD,40.749349,-74.007351
CHELSEA WATERSIDE PARK PLAYGROUND,40.749318,-74.006981
PIER 66 SEATING AREA,40.751987,-74.008443
1 RANDALLS ISLAND PARK,40.795996,-73.920799
RANDALLS ISLAND,40.795996,-73.920799
RIVERSIDE DR TO BROADWAY W 192 ST TO DYCKMAN ST,40.864500,-73.931000
BROADWAY AND ARDEN,40.866900,-73.928500
DYKMAN ST AND HUDSON RIVER,40.869560,-73.931980
765 MANIDA ST - HUNTS POINT RECREATION CENTER,40.811340,-73.885170
161-164 WALTON AVE - JOYCE KILMER PARK,40.827000,-73.929000
2900 SOUTHERN BLVD - VISITORS SERVICE CENTER,40.861526,-73.880659
BRONX ZOO - THROUGHOUT THE ZOO,40.849760,-73.880055
2300 SOUTHERN BLVD - BRONX ZOO MAIN ENTRANCE,40.850300,-73.880300
6301 RIVERDALE AVE - CAMPUS WIDE,40.911295,-73.907652
ORCHARD BEACH ROAD - BOATHOUSE,40.866292,-73.794774
ORCHARD BEACH ROAD - PELHAM PLAYGROUND,40.867984,-73.793396
ORCHARD BEACH ROAD - BASKETBALL COURT AREA,40.868802,-73.792261
2551 WESTCHESTER AVE - OWEN DOLEN REC CENTER,40.840504,-73.842668
FRONT ST AND JAY ST,40.702380,-73.986553
210 JORALEMON ST - INSIDE BUILDING,40.692402,-73.990356
141 LIVINGSTON ST - INSIDE BUILDING,40.690693,-73.988056
120 SCHERMERHORN ST - INSIDE BUILDING,40.688700,-73.989000
PEARL STREET TRIANGLE,40.703393,-73.988075
ARCHWAY ON ADAMS STREET SIDE,40.702500,-73.988800
OLD FULTON PLAZA,40.702835,-73.993914
450 FLATBUSH AVE - PP ZOO,40.665830,-73.964440
990 WASHINGTON AVE - BBG,40.669400,-73.962700
1555 LINDEN BLVD,40.656762,-73.902470
NY AQUARIUM,40.576127,-73.975939
FLOYD BENNETT FIELD TRAINING CENTER,40.589500,-73.890500
PASSERELLE CIRCLE - FLUSHING MEADOW PARK,40.744500,-73.846500
FLUSHING MEADOW PARK PLAYGROUNDS,40.745000,-73.848000
QUEENS HALL OF SCIENCE,40.747500,-73.851000
QUEENS ZOO,40.744800,-73.846800
QUEENS THEATRE,40.744161,-73.844422
QUEENS MUSEUM,40.745870,-73.846740
AL ORTER RECREATION CENTER,40.751380,-73.833730
93-29 QUEENS BLVD - LBH RECREATION CENTER,40.732226,-73.865150
43-50 MAIN ST - QUEENS BOTANICAL GARDEN,40.750255,-73.829765
KISSENA BLVD AND HORACE HARDING EXPRESSWAY,40.751000,-73.819000
N/W/C 150 STREET / MELBOURNE AVE,40.734500,-73.821500
177-01 BAISLEY BLVD - ROY WILKINS PARK,40.687222,-73.769505
133-39 GUY BREWER BLVD - VIC HANSEN REC CENTER,40.674500,-73.775500
106-16 173RD ST - DETECTIVE KEITH WILLIAMS REC CENTER,40.704500,-73.790500
WINCHESTER BLVD & GRAND CENTRAL PARKWAY,40.758000,-73.713500
WINCHESTER BLVD & UNION TURNPIKE,40.741500,-73.713500
B95TH ST / BEACH - ROCKAWAY BEACH,40.584800,-73.812800
B92ND ST / BEACH - ROCKAWAY BEACH,40.584500,-73.814200
B17TH ST / BEACH - ROCKAWAY BEACH,40.600000,-73.752500
B13TH ST / BEACH - ROCKAWAY BEACH,40.600500,-73.754000
6 VICTORY BLVD - LYONS POOL,40.642500,-74.103500
CLOVE RD AND CHESHIRE PL,40.613500,-74.107000
CLOVE RD AND VICTORY BLVD,40.618500,-74.110500
DAVIS AVE AND DELAFIELD AVE,40.643000,-74.110000
SNUG HARBOR CULTURAL CENTER,40.643890,-74.102220
2800 VICTORY BLVD - COLLEGE OF STATEN ISLAND,40.601500,-74.148000
625 FATHER CAPODANNO BLVD - OCEAN BREEZE,40.588000,-74.065000
700 ROCKLAND AVE - GREENBELT NATURE CENTER,40.603576,-74.120424
IFO 1617 RICHMOND ROAD - NYPL DONGAN HILLS,40.590500,-74.096500
NEW DORP LANE - MILLER FIELD COMPLEX,40.573890,-74.116390
IFO 222 POLLION AVE - BLUE HERON NATURE CENTER,40.540000,-74.190000
FRESH KILLS PARK VISITOR CENTER,40.577000,-74.185000
GREAT KILLS PARK,40.543651,-74.126147
