site_location,DEPOT,GOVERNORS ISLAND,4 SOUTH STREET - WHITEHALL FERRY TERMINAL,COURTYARD WEST,PIER 40 DOG RUN,PIER 40 COURTYARD AND TUNNEL,PIER 45,PIER 51,PIER 57,PIER 40,CHELSEA WATERSIDE PARK FIELD,CHELSEA WATERSIDE PARK PLAYGROUND,PIER 66 SEATING AREA,1 RANDALLS ISLAND PARK,RANDALLS ISLAND,RIVERSIDE DR TO BROADWAY W 192 ST TO DYCKMAN ST,BROADWAY AND ARDEN,DYKMAN ST AND HUDSON RIVER,765 MANIDA ST - HUNTS POINT RECREATION CENTER,161-164 WALTON AVE - JOYCE KILMER PARK,2900 SOUTHERN BLVD - VISITORS SERVICE CENTER,BRONX ZOO - THROUGHOUT THE ZOO,2300 SOUTHERN BLVD - BRONX ZOO MAIN ENTRANCE,6301 RIVERDALE AVE - CAMPUS WIDE,ORCHARD BEACH ROAD - BOATHOUSE,ORCHARD BEACH ROAD - PELHAM PLAYGROUND,ORCHARD BEACH ROAD - BASKETBALL COURT AREA,2551 WESTCHESTER AVE - OWEN DOLEN REC CENTER,FRONT ST AND JAY ST,210 JORALEMON ST - INSIDE BUILDING,141 LIVINGSTON ST - INSIDE BUILDING,120 SCHERMERHORN ST - INSIDE BUILDING,PEARL STREET TRIANGLE,ARCHWAY ON ADAMS STREET SIDE,OLD FULTON PLAZA,450 FLATBUSH AVE - PP ZOO,990 WASHINGTON AVE - BBG,1555 LINDEN BLVD,NY AQUARIUM,FLOYD BENNETT FIELD TRAINING CENTER,PASSERELLE CIRCLE - FLUSHING MEADOW PARK,FLUSHING MEADOW PARK PLAYGROUNDS,QUEENS HALL OF SCIENCE,QUEENS ZOO,QUEENS THEATRE,QUEENS MUSEUM,AL ORTER RECREATION CENTER,93-29 QUEENS BLVD - LBH RECREATION CENTER,43-50 MAIN ST - QUEENS BOTANICAL GARDEN,KISSENA BLVD AND HORACE HARDING EXPRESSWAY,N/W/C 150 STREET / MELBOURNE AVE,177-01 BAISLEY BLVD - ROY WILKINS PARK,133-39 GUY BREWER BLVD - VIC HANSEN REC CENTER,106-16 173RD ST - DETECTIVE KEITH WILLIAMS REC CENTER,WINCHESTER BLVD & GRAND CENTRAL PARKWAY,WINCHESTER BLVD & UNION TURNPIKE,B95TH ST / BEACH - ROCKAWAY BEACH,B92ND ST / BEACH - ROCKAWAY BEACH,B17TH ST / BEACH - ROCKAWAY BEACH,B13TH ST / BEACH - ROCKAWAY BEACH,6 VICTORY BLVD - LYONS POOL,CLOVE RD AND CHESHIRE PL,CLOVE RD AND VICTORY BLVD,DAVIS AVE AND DELAFIELD AVE,SNUG HARBOR CULTURAL CENTER,2800 VICTORY BLVD - COLLEGE OF STATEN ISLAND,625 FATHER CAPODANNO BLVD - OCEAN BREEZE,700 ROCKLAND AVE - GREENBELT NATURE CENTER,IFO 1617 RICHMOND ROAD - NYPL DONGAN HILLS,NEW DORP LANE - MILLER FIELD COMPLEX,IFO 222 POLLION AVE - BLUE HERON NATURE CENTER,FRESH KILLS PARK VISITOR CENTER,GREAT KILLS PARK
DEPOT,0.0,3317.2,2504.9,5307.6,3557.3,2925.1,5242.6,4661.8,4929.1,2925.1,5130.8,5143.5,6599.9,15708.8,15708.8,19749.2,22477.7,22628.7,18992.0,17734.9,25719.6,21955.5,21999.1,26044.0,31415.3,31870.6,31885.9,24943.4,3447.6,3812.4,3950.8,4224.6,4526.9,3537.7,3275.2,7439.7,8042.5,17487.5,18708.9,25363.0,18167.0,18318.8,18600.9,18127.8,18275.2,18019.5,18234.8,14442.8,18458.5,20553.2,19241.7,28155.3,26924.7,23505.1,31127.7,29340.0,32067.7,31891.1,36329.9,36206.7,25505.4,22330.0,22448.3,25692.5,26056.9,26086.4,20230.8,23787.7,22270.8,25639.8,33911.2,36607.1,28518.2
GOVERNORS ISLAND,6475.4,0.0,2071.8,7682.0,5931.8,5299.5,7617.0,7036.3,7303.6,5299.5,7505.3,7517.9,8974.3,17005.2,17005.2,23801.5,23774.1,23925.1,20288.4,19031.3,27016.0,23251.9,23295.5,29719.2,32711.7,33167.0,33182.3,26239.7,5263.6,5628.4,5766.8,6040.6,6342.9,5353.7,5091.2,9255.7,9858.5,17668.2,18889.6,25543.7,22329.9,22746.1,22763.8,22290.7,22438.1,22182.4,22397.8,18605.8,22621.4,24716.2,23404.6,32318.3,31087.6,27668.1,35290.6,33502.9,32248.4,32071.8,40492.9,40369.6,25686.1,22510.7,22629.0,25873.1,26237.6,26267.1,20411.5,23968.4,22451.5,25820.5,34091.9,36787.8,28698.9
4 SOUTH STREET - WHITEHALL FERRY TERMINAL,5344.9,1516.0,0.0,5616.0,3865.7,3233.4,5551.0,4970.2,5237.5,3233.4,5439.2,5451.9,6908.2,16526.7,16526.7,20057.6,23295.6,20655.7,19809.9,18552.8,26537.5,22773.4,22817.0,26352.3,32233.2,32688.5,32703.8,25761.3,4133.1,4497.9,4636.3,6367.7,5212.4,4223.2,3960.7,8910.4,8896.7,15602.1,16823.5,23477.6,21851.4,19021.0,22285.4,21812.3,21959.7,21704.0,21919.3,18127.3,22142.9,24237.7,22926.2,31839.8,30609.1,27189.6,34812.1,33024.5,30182.3,30005.7,35577.1,35453.9,23620.1,20444.6,20562.9,23807.1,24171.5,24201.0,18345.4,21902.3,20385.4,23754.5,32025.8,34721.7,26632.8
COURTYARD WEST,6296.0,5034.5,3573.8,0.0,1038.0,405.7,2598.5,2017.8,2285.1,405.7,2486.8,2499.4,3955.8,14189.8,14189.8,17105.1,18236.0,17703.3,17473.0,16765.6,22532.7,21405.6,21449.2,23399.9,31931.2,32386.5,32401.8,24287.7,5221.5,5586.3,5724.7,5998.5,6300.8,5311.6,5049.1,8714.3,8700.5,17749.9,18971.3,25625.4,18874.9,19119.9,19308.9,18835.8,18983.2,18727.5,18942.8,15150.8,19166.4,21261.2,19949.6,28863.3,27632.6,24213.1,31835.6,30047.9,32330.1,32153.4,37037.9,36914.6,25767.8,22592.4,22710.7,25954.8,26319.3,26348.8,20493.2,24050.0,22533.2,25902.2,33557.0,34603.8,28780.5
PIER 40 DOG RUN,6730.0,5468.4,4007.8,3259.3,0.0,1252.0,3194.3,2613.5,2880.8,1252.0,3082.6,3095.2,4551.6,16225.8,16225.8,17700.9,18831.8,18299.0,18120.0,17361.4,23128.5,22001.4,22045.0,23995.7,32527.0,32982.3,32997.6,24883.4,5655.5,6020.2,6158.6,6432.4,6734.8,5745.5,5483.1,9148.3,9134.5,18183.8,19405.2,26059.3,19522.0,19715.6,19955.9,19482.8,19630.2,19374.5,19589.8,15797.8,19813.4,21908.2,20596.7,29510.3,28279.7,24860.1,32482.7,30695.0,32764.0,32587.4,37684.9,37561.7,26201.8,23026.3,23144.7,26388.8,26753.2,26782.7,20927.1,24484.0,22967.1,26336.2,33991.0,35037.7,29214.5
PIER 40 COURTYARD AND TUNNEL,6118.9,4857.3,3396.6,2648.2,656.5,0.0,2583.2,2002.4,2269.7,0.0,2471.4,2484.1,3940.5,15614.6,15614.6,17089.8,18220.6,17687.9,17508.9,16750.3,22517.3,21390.2,21433.8,23384.6,31915.8,32371.1,32386.5,24272.3,5044.3,5409.1,5547.5,5821.3,6123.7,5134.4,4871.9,8537.1,8523.4,17572.7,18794.1,25448.2,18910.8,19104.5,19344.8,18871.7,19019.1,18763.4,18978.7,15186.7,19202.3,21297.1,19985.6,28899.2,27668.5,24249.0,31871.5,30083.9,32152.9,31976.3,37073.8,36950.6,25590.6,22415.2,22533.5,25777.7,26142.1,26171.6,20316.0,23872.9,22356.0,25725.0,33379.9,34426.6,28603.4
PIER 45,6361.0,5099.5,3638.8,65.0,1103.0,470.8,0.0,2082.8,2350.1,470.8,2551.8,2564.5,4020.8,14254.8,14254.8,17170.1,18301.0,17768.3,17538.0,16830.6,22597.7,21470.6,21514.2,23464.9,31996.2,32451.5,32466.8,24352.7,5286.5,5651.3,5789.7,6063.5,6365.8,5376.6,5114.1,8779.3,8765.6,17814.9,19036.3,25690.4,18939.9,19184.9,19373.9,18900.8,19048.2,18792.5,19007.8,15215.8,19231.4,21326.2,20014.6,28928.3,27697.6,24278.1,31900.6,30113.0,32395.1,32218.5,37102.9,36979.7,25832.8,22657.4,22775.7,26019.8,26384.3,26413.8,20558.2,24115.0,22598.2,25967.2,33622.0,34668.8,28845.6
PIER 51,6941.8,5680.2,4219.6,645.8,1683.8,1051.5,580.8,0.0,2930.9,1051.5,3132.6,3145.2,4601.6,14835.6,14835.6,17750.9,18881.8,18349.1,18118.8,17411.4,23178.5,22051.4,22095.0,24045.7,32577.0,33032.3,33047.6,24933.5,5867.3,6232.1,6370.5,6644.3,6946.6,5957.4,5694.9,9360.1,9346.3,18395.7,19617.1,26271.2,19520.7,19765.7,19954.6,19481.6,19629.0,19373.3,19588.6,15796.6,19812.2,21907.0,20595.4,29509.1,28278.4,24858.9,32481.4,30693.7,32975.9,32799.2,37683.7,37560.4,26413.6,23238.2,23356.5,26600.6,26965.1,26994.6,21139.0,24695.8,23178.9,26548.0,34202.8,35249.6,29426.3
PIER 57,7551.0,6289.4,4828.7,1254.9,2293.0,1660.7,1189.9,609.1,0.0,1660.7,926.7,939.3,2138.2,14069.9,14069.9,15545.0,16675.9,16143.2,17891.1,15205.5,20972.6,19845.5,19889.1,21839.8,30371.1,30826.4,30841.7,22727.6,6476.4,6841.2,6979.6,7253.4,7555.8,6566.5,6304.0,9969.2,9955.5,19004.8,20226.2,26880.3,18209.2,18625.4,18643.1,18170.0,18317.5,18061.8,18277.1,14485.1,18500.7,20595.5,19283.9,28197.6,26966.9,23547.4,31169.9,29382.2,33585.0,33408.4,36372.2,36248.9,27022.7,23847.3,23965.6,27209.8,27574.2,27603.7,21748.1,25305.0,23788.1,27157.1,34812.0,35858.7,30035.5
PIER 40,6118.9,4857.3,3396.6,2648.2,656.5,0.0,2583.2,2002.4,2269.7,0.0,2471.4,2484.1,3940.5,15614.6,15614.6,17089.8,18220.6,17687.9,17508.9,16750.3,22517.3,21390.2,21433.8,23384.6,31915.8,32371.1,32386.5,24272.3,5044.3,5409.1,5547.5,5821.3,6123.7,5134.4,4871.9,8537.1,8523.4,17572.7,18794.1,25448.2,18910.8,19104.5,19344.8,18871.7,19019.1,18763.4,18978.7,15186.7,19202.3,21297.1,19985.6,28899.2,27668.5,24249.0,31871.5,30083.9,32152.9,31976.3,37073.8,36950.6,25590.6,22415.2,22533.5,25777.7,26142.1,26171.6,20316.0,23872.9,22356.0,25725.0,33379.9,34426.6,28603.4
